
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
F2,EPWM5_A,,EPWM5_A,,,,,,FSITX1_D0,GPIO53,,,,,,,,
G2,EPWM5_B,,EPWM5_B,,,,,,FSITX1_D1,GPIO54,,,,,,,,
E1,EPWM6_A,,EPWM6_A,,,,,,FSIRX1_CLK,GPIO55,,,,,,,,
F3,EPWM6_B,,EPWM6_B,,,,,,FSIRX1_D0,GPIO56,,,,,,,,
F4,EPWM7_A,,EPWM7_A,,,,,,FSIRX1_D1,GPIO57,,,,,,,,
F1,EPWM7_B,,EPWM7_B,,,,,,,GPIO58,,,,,,,,
G3,EPWM8_A,,EPWM8_A,UART4_TXD,I2C3_SDA,,,,FSITX2_CLK,GPIO59,,,,,,,,
H2,EPWM8_B,,EPWM8_B,UART4_RXD,I2C3_SCL,,,,FSITX2_D0,GPIO60,,,,,,,,
G1,EPWM9_A,,EPWM9_A,,,,,,FSITX2_D1,GPIO61,,,,,,,,
J2,EPWM9_B,,EPWM9_B,UART1_RTSn,,,,,FSIRX2_CLK,GPIO62,,,,,,,,
G4,EPWM10_A,,EPWM10_A,UART1_CTSn,,,,,FSIRX2_D0,GPIO63,,,,,,,,
J3,EPWM10_B,,EPWM10_B,UART2_RTSn,,,,,FSIRX2_D1,GPIO64,,,,,,,,
H1,EPWM11_A,,EPWM11_A,UART2_CTSn,,,,,GPMC_CLKLB,GPIO65,,,,,,,,
J1,EPWM11_B,,EPWM11_B,UART3_RTSn,,,,,GPMC_OEn_REn,GPIO66,,,,,,,,
K2,EPWM12_A,,EPWM12_A,UART3_CTSn,SPI4_CS1,,,,GPMC_WEn,GPIO67,,,,,,,,
J4,EPWM12_B,,EPWM12_B,UART1_DCDn,,,,,GPMC_CSn0,GPIO68,,,,,,,,
K4,EPWM13_A,,EPWM13_A,UART1_RIn,,,,,GPMC_AD0,GPIO69,,,,,,,,
K3,EPWM13_B,,EPWM13_B,UART1_DTRn,,,,,GPMC_AD1,GPIO70,,,,,,,,
V17,EPWM14_A,,EPWM14_A,UART1_DSRn,,,,,GPMC_AD2,GPIO71,,,,,,,,
T16,EPWM14_B,,EPWM14_B,,MII1_RX_ER,,,,GPMC_AD3,GPIO72,,,,,,,,
P15,EPWM15_A,,EPWM15_A,UART5_TXD,MII1_COL,,,,GPMC_AD4,GPIO73,,,,,,,,
R16,EPWM15_B,,EPWM15_B,UART5_RXD,MII1_CRS,,,,GPMC_AD5,GPIO74,,,,,,,,
L3,UART1_RXD,,UART1_RXD,LIN1_RXD,,,,EPWM16_A,GPMC_AD6,GPIO75,,,,,,,,
M3,UART1_TXD,,UART1_TXD,LIN1_TXD,,,,EPWM16_B,GPMC_AD7,GPIO76,,,,,,,,
B6,MMC_CLK,,MMC_CLK,UART0_RXD,LIN0_RXD,,,EPWM17_A,GPMC_AD8,GPIO77,SDFM1_CLK0,,,,,,,
A4,MMC_CMD,,MMC_CMD,UART0_TXD,LIN0_TXD,,,EPWM17_B,GPMC_AD9,GPIO78,SDFM1_D0,,,,,,,
B5,MMC_DAT0,,MMC_DAT0,UART2_RXD,I2C1_SCL,,,EPWM18_A,GPMC_AD10,GPIO79,SDFM1_CLK1,,,,,,,
B4,MMC_DAT1,,MMC_DAT1,,,,,EPWM18_B,GPMC_AD11,GPIO80,SDFM1_D1,,,,,,,
A3,MMC_DAT2,,MMC_DAT2,UART2_TXD,I2C1_SDA,,,EPWM19_A,GPMC_AD12,GPIO81,SDFM1_CLK2,,,,,,,
A2,MMC_DAT3,,MMC_DAT3,UART3_RTSn,,,,EPWM19_B,GPMC_AD13,GPIO82,SDFM1_D2,,,,,,,
