
All device pins and their pinmux options

Pin,Name,Selected Mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
P12,VSS_87,,,,,,,,,,,,,,,,,
R13,VSS_88,,,,,,,,,,,,,,,,,
V16,VSS_89,,,,,,,,,,,,,,,,,
N5,VDD_1,,,,,,,,,,,,,,,,,
K5,VDD_2,,,,,,,,,,,,,,,,,
G5,VDD_3,,,,,,,,,,,,,,,,,
N6,VDD_4,,,,,,,,,,,,,,,,,
K6,VDD_5,,,,,,,,,,,,,,,,,
G6,VDD_6,,,,,,,,,,,,,,,,,
F9,VDD_7,,,,,,,,,,,,,,,,,
E9,VDD_8,,,,,,,,,,,,,,,,,
F11,VDD_9,,,,,,,,,,,,,,,,,
E11,VDD_10,,,,,,,,,,,,,,,,,
N13,VDD_11,,,,,,,,,,,,,,,,,
K13,VDD_12,,,,,,,,,,,,,,,,,
G13,VDD_13,,,,,,,,,,,,,,,,,
N14,VDD_14,,,,,,,,,,,,,,,,,
K14,VDD_15,,,,,,,,,,,,,,,,,
G14,VDD_16,,,,,,,,,,,,,,,,,
R9,VDD_17,,,,,,,,,,,,,,,,,
R8,VDDA18_1,,,,,,,,,,,,,,,,,
R11,VDDA18_2,,,,,,,,,,,,,,,,,
R4,VDDA18_OSC_PLL,,,,,,,,,,,,,,,,,
T4,VDDA18_TEMP,,,,,,,,,,,,,,,,,
P7,VDDA33_1,,,,,,,,,,,,,,,,,
P9,VDDA33_2,,,,,,,,,,,,,,,,,
P11,VDDA33_3,,,,,,,,,,,,,,,,,
J15,VDDAR1,,,,,,,,,,,,,,,,,
D10,VDDAR2,,,,,,,,,,,,,,,,,
H3,VDDAR3,,,,,,,,,,,,,,,,,
L4,VDDS18_1,,,,,,,,,,,,,,,,,
D6,VDDS18_2,,,,,,,,,,,,,,,,,
N15,VDDS18_3,,,,,,,,,,,,,,,,,
E15,VDDS18_4,,,,,,,,,,,,,,,,,
T3,VDDS18_LDO,,,,,,,,,,,,,,,,,
P4,VDDS33_1,,,,,,,,,,,,,,,,,
H4,VDDS33_2,,,,,,,,,,,,,,,,,
D8,VDDS33_3,,,,,,,,,,,,,,,,,
D12,VDDS33_4,,,,,,,,,,,,,,,,,
R15,VDDS33_5,,,,,,,,,,,,,,,,,
L15,VDDS33_6,,,,,,,,,,,,,,,,,
H15,VDDS33_7,,,,,,,,,,,,,,,,,
R6,VDDA18_LDO,,,,,,,,,,,,,,,,,
N3,VPP,,,,,,,,,,,,,,,,,

